Name	t00_A_Rep2_OR8	t00_C_Rep2_OR8	t00_C_Rep3_OR8	t00_A_Rep1_OR8	t00_C_Rep1_OR8	t00_B_Rep3_OR8
A0AVT1	NA	17.19438299087999	NA	NA	NA	NA
A5YKK6	16.989366736466035	16.67993555954514	16.894676416500943	NA	16.97046593694661	16.5246321157982
A6NHR9	NA	15.37199048120536	NA	NA	NA	NA
A6NL28	20.36582573737133	19.734058488956343	NA	NA	19.636516379554863	19.827926080945325
A6NMY6;P07355	17.455457742353534	17.44400510736561	17.34474560352382	NA	17.82773098134554	17.90181571733185
A8MWD9;P62308	NA	19.044603206264036	NA	NA	NA	NA
B0I1T2	18.84079141750259	19.080718272573208	18.916930402945184	NA	18.779605172728314	18.810353818948283
O00116	17.33883888431778	17.47535017169263	NA	NA	NA	17.82860056320335
O00148	21.09771925491243	21.440548971698274	21.386323986077528	NA	21.269775729171954	21.184296158908687
O00151	18.573866041235238	19.205496972100946	18.786724881557724	NA	NA	19.08826941336967
O00154	20.64329796558953	20.659405219528196	21.00821824997453	NA	20.50361159492062	20.616620014353895
O00170	19.21012458343595	19.430093230960967	18.901739632587965	NA	19.16164312087644	19.144413829064696
O00178	NA	15.48606133765632	NA	NA	NA	NA
O00182;Q3B8N2;Q6DKI2	18.439900412099657	18.49317011466824	18.567826913069705	NA	18.79251044671833	18.826020839602652
O00193	18.236658489511303	NA	NA	NA	NA	NA
O00231	20.865253669792057	20.466338748828047	20.423656386590267	NA	20.094071035249947	20.487708493014388
O00232	19.24135537376309	19.01630110919885	19.370368282620802	NA	19.2847446214051	19.367397755651314
O00233	18.583031002511685	18.40707291698933	NA	NA	18.193463720702784	18.395609687101903
O00264	17.74295136839532	17.819677732708843	17.723927525831783	NA	NA	17.650786912939505
O00267	16.369464158903213	17.66768732012326	NA	NA	NA	16.17717963204936
O00299;Q9NZA1;O15247	21.032053096619258	21.137548575485503	20.669125608409498	NA	20.644967444166163	20.90405021459376
O00303	19.57865116280091	20.06255676058885	20.86982624994734	NA	19.947737235214987	19.90041917918897
O00410;O60518	21.273505093852403	21.26334648203565	21.306513289999128	NA	21.36110046343947	21.201929608795215
O00425	17.69001196730707	17.934320694928513	18.051025319201017	NA	17.329917223363765	17.667906690581752
O00429	16.75160977662468	17.001109041021056	16.288191184318535	NA	NA	17.63586129081092
O00483	16.954645631324095	NA	NA	NA	NA	NA
O00487	18.721847336816612	19.175265952439883	18.744374217204953	NA	19.32184725037532	18.194204408854297
O00505	18.158923568635448	18.01288620879741	17.288578347995696	NA	17.644933397863767	17.553177472356285
O00541;Q674R7	NA	NA	NA	NA	17.085215667089052	NA
O00567	19.43135050209794	19.51079030356771	19.658391006281292	NA	19.471373591573233	19.51262047048067
O00571;O15523;Q9NQI0	19.484126256873317	19.722400437304408	19.498169621532178	NA	19.713953723171628	19.439463007580596
O00743	17.258905783755512	17.488762637846825	17.781639196479325	NA	17.261039176116782	17.18828397821131
O14497	NA	16.889952927849034	NA	NA	NA	17.094588981027155
O14561	17.26562834791867	17.646739454379787	19.053849130394735	NA	17.934761875264932	17.80125007505839
O14579	16.034854444577434	18.07161817517573	NA	NA	17.507586480452623	17.70644960234834
O14602	17.839013312383432	18.258344926870674	18.086526521576648	NA	17.624773737990733	18.107787933997205
O14646	17.33497512025471	17.875751983679404	17.72555317114936	NA	NA	NA
O14662	NA	NA	15.692647147220828	NA	NA	NA
O14737	19.78788516301623	19.693404826295296	19.069499694867574	NA	19.280323939302036	19.35440461572882
O14744	19.380671043176292	19.37584166523755	19.344872528702354	NA	19.21235781611429	19.52215846239642
O14745	20.622603389905233	20.267117688181877	20.25560789101966	22.431663382275175	20.430638348945955	20.264414283423722
O14757	NA	15.681945934426647	NA	NA	NA	NA
O14776;Q5VWI1	NA	17.198777435462215	NA	NA	NA	NA
O14818	20.991876096938874	20.770368628089965	20.80618364017983	20.634378398807804	21.142562854555074	20.918765223176553
O14929;REV__Q7LFX5	19.957461927369664	19.551544206854178	19.768562159092742	NA	19.516750627377164	19.6420479167881
O14950;P19105;P24844	18.948089473922124	19.709585390080807	19.526347860516914	NA	19.358019564869387	19.374415379292905
O14974	NA	NA	NA	NA	NA	17.176181311867378
O14979	19.412384331439007	19.789724111557383	NA	NA	20.48319040672348	18.985970277672898
O14980	18.708210687618358	18.917169063057102	19.82701989702886	NA	18.50698719905208	18.684063951229717
O15067	19.466037713996144	19.732074007537587	20.308846650925965	NA	19.590093368681874	19.807862851569723
O15143	19.0787206400809	18.967071248777074	18.609133302571355	NA	18.579996547195595	18.959555791988404
O15144	19.2284415842622	19.45015560155323	19.541119737822367	NA	19.5420170629824	19.444869227248997
O15145	18.682628052976135	18.91959378356656	20.983090948431435	NA	18.9932968093939	19.170753825226583
O15160	17.397037859068973	17.76507411133148	NA	NA	NA	17.289823818782835
O15212	18.821921089048054	19.18853965728959	19.361111117525592	NA	18.933898261241914	18.853145780569662
O15305	NA	17.155394888216073	NA	NA	NA	16.637436098681412
O15347	18.764969030596344	18.392414902400557	19.17513789409292	NA	19.235920915676484	17.87071698316929
O15355	20.527735841301965	19.929410780804705	19.99176313408374	NA	19.922680149602055	19.164071268617143
O15371	18.08638510857563	18.989234940732764	NA	NA	18.611036324485386	18.527485615633356
O15372	18.965443399290333	19.107118187521934	19.41723279989517	NA	19.14047546292923	18.852526895376098
O15392	NA	15.758409173793984	NA	NA	NA	NA
O15397	NA	16.489049712773827	17.45821005316326	NA	16.823706054509337	NA
O15511	NA	20.1766701220831	NA	NA	20.446742653568418	20.726934378153125
O43143	20.33293407155814	20.549549966626923	20.652216010985825	NA	20.751025166164307	21.03488659634705
O43172	NA	17.04706682960882	NA	NA	NA	17.26266288816395
O43175	21.157378609014057	20.972714742729572	21.219664678511993	NA	21.248142544764807	21.05340569030144
O43242	18.78536366710926	19.014307988822587	18.911256162963536	NA	18.99556816037521	19.393767565174855
O43252;O95340	NA	18.927081974744734	NA	NA	18.428741157856887	18.56808144201322
O43324	18.200647360081685	18.806262550031843	18.25821593039004	NA	18.18459074229946	18.604978848984782
O43390	21.180088466933064	21.391628174931267	21.387454021058918	NA	21.38147334544402	21.325154609628
O43396	18.005679356259638	18.285909866464422	18.82598974679628	NA	17.13143958806902	18.463420736284437
O43399	17.848235619905353	17.62528706753754	17.8455874246815	NA	17.78431136726591	17.69261871182022
O43447	17.33741217667729	17.79545146445109	17.970340686433016	NA	17.63769738031273	16.899991397112924
O43488;Q8NHP1;O95154	19.06166835381936	18.94714986585602	19.791606471607732	NA	18.502371891787345	19.06169103829892
O43504	17.789420500454295	17.057073104475613	NA	NA	NA	16.681643571736767
O43592	17.879653649471212	17.76228595006063	16.84061539790329	NA	17.313903203611883	17.494468165057828
O43615	17.927013302649808	17.551681639103947	NA	NA	NA	17.526155670300213
O43617	NA	16.94592173999426	NA	NA	NA	16.988064837616232
O43665	NA	NA	NA	NA	NA	16.76355994100162
O43681	17.851884587400946	17.926605164598904	16.934692095348822	NA	NA	17.956871095810687
O43684	19.21387981500583	19.191056294521296	19.898428551362052	NA	19.48147552104735	19.067848582036017
O43707;Q08043;P35609	19.957598500952468	20.004376185615943	19.462213283780404	NA	19.749268474109996	19.930053041740756
O43719	17.06636202934028	17.150230914142842	NA	NA	NA	NA
O43747	NA	NA	18.274432432079525	NA	NA	16.308596897147236
O43765	19.188410058501265	19.101989328356904	18.986999884269423	NA	19.374621912416263	19.309499105180052
O43776	19.252908705530604	18.90213038218307	20.544347141707778	NA	19.31025824563469	19.287688848458185
O43809	19.218993169870714	19.547966365354004	19.45664479854418	NA	18.994285954655297	18.936380356079862
O43837	17.739651312316624	17.951817646633014	17.968200066793408	NA	18.27294058730901	18.376671866472446
O43847	18.18845660831303	18.048187483034543	18.44192690691913	NA	18.189734378983136	17.60553865693317
O43852	17.789911463549345	17.66489484248742	17.46117936643339	NA	17.121882051998444	17.84196502290848
O60216;Q9H4I0	NA	16.534122145876726	17.651549169217816	NA	16.325539555284077	NA
O60234	19.391184969071528	19.585165484326577	19.3685590517794	NA	19.309614060718772	19.607269188489127
O60256	NA	16.19953193262138	NA	NA	NA	NA
O60264	17.97010828185664	17.97940939530358	18.58941377527785	NA	17.453639827217568	17.538960739934627
O60341	17.53770927224581	17.50687947948869	18.98156794185627	NA	NA	17.717626792034416
O60488	NA	NA	NA	NA	NA	17.4449669794251
O60493	NA	17.045896523285556	NA	NA	NA	16.869668724505484
O60506	20.03974955805576	19.57894195897516	20.0146816198579	NA	19.53128219748431	19.617418205104457
O60508	NA	16.129203999927167	NA	NA	NA	NA
O60610	20.452301515910772	20.100980147040556	20.19047477956365	NA	19.64860576395568	19.992646144022075
O60664	NA	17.742857231702004	17.249880666262605	NA	NA	18.040189126785965
O60749	NA	NA	17.36207295607421	NA	NA	NA
O60763	NA	16.81487636601752	16.428159900284438	NA	16.932364769407776	NA
O60832	17.6936898006955	17.456536899255337	18.768577929095432	NA	16.87395453855486	17.586524046966684
O60841	17.938185192245907	18.168269346698697	19.145254222837888	NA	18.07711330336379	17.988118504315427
O60880	NA	17.970493403966756	NA	NA	NA	NA
O60884	17.884144084588428	18.52252968422112	18.23566770181269	NA	18.195557246709537	18.739852186354515
O60925	18.984871021912646	18.995638885618263	19.122903110664804	NA	19.041993342990132	19.08425851251268
O75083	22.541354154155556	22.63427787856123	22.608855875189473	22.819596847878312	22.755959351039127	22.663116452574823
O75131;Q9UBL6;Q9HCH3;Q86YQ8;Q96A23;Q8IYJ1;Q96FN4	17.071217208988337	17.925810130665106	17.439551708751928	NA	17.685552684379804	17.393544731665095
O75152	NA	16.457769445285784	16.420648891148637	NA	NA	16.313350766399857
O75312	NA	15.750193157978028	NA	NA	NA	NA
O75347	19.300223036139887	19.577491556441156	19.476803919738526	NA	19.62353027350387	20.066044752515324
O75348	20.057571123106978	20.090376379118144	20.61779035922818	21.912109493445207	20.389979436276068	19.833716349293006
O75351	17.421641194528156	18.15353979719268	17.337364771303665	NA	17.95286187589176	18.00667432334367
O75367;Q9P0M6	20.29398464853352	19.888375884921278	20.165780252310622	NA	20.3968696911754	20.323454195386642
O75368	18.543543949996444	18.337317693207268	17.462895653387523	NA	17.28387031373584	17.912147894552795
O75369	21.315670033247734	21.45893865671987	21.349476586406595	NA	21.20612954244242	21.4946192800722
O75390	20.976929228401183	20.747903935862755	20.361968439463098	NA	20.538117711649942	20.76337181655293
O75396	NA	16.033294774836598	NA	NA	NA	NA
O75400	18.624978650414366	18.330044861212617	18.94234566789226	NA	18.95503297493339	18.844279269434328
O75431	16.772130676524675	17.171850125506133	NA	NA	16.794905879356477	16.792979650467814
O75436	17.270297980818754	17.11699650751444	18.169415933759474	NA	17.376427538485363	17.35527863585908
O75475	18.737425862816032	18.63912831253381	18.71577170825337	NA	18.58618014462932	18.556800333586324
O75489	NA	16.783271832661782	15.54140034739567	NA	NA	NA
O75506	NA	17.119316475596932	NA	NA	NA	NA
O75521	NA	16.611443597275752	NA	NA	NA	15.998652099024682
O75530	NA	16.327173601907198	16.69991594955654	NA	NA	NA
O75531	19.458645678400664	20.432035550592744	20.15097584341893	NA	19.958872484959763	20.326853022056827
O75533	19.999988244181782	19.947411034401426	19.797739413795355	NA	19.98398707660023	19.904547879513625
O75534	20.80071627238694	20.249751461219546	20.554169237316568	23.071101346176526	20.38101350603482	20.480287597386365
O75643	20.092815818771278	20.25672305720643	19.79020897762066	NA	19.98868969556552	19.829858753688157
O75663	18.04846988377696	18.248331892322717	17.973299387565252	NA	17.943425068715626	17.720343001897067
O75694	NA	16.974702058748125	17.566158512253228	NA	NA	16.192258475738498
O75717	NA	16.56440595116751	NA	NA	NA	NA
O75791	16.77684415432702	17.22942712124421	17.960047669625716	NA	17.25739162404419	17.41924615252004
O75792	22.3551609602535	20.5252615976686	21.737671359776193	NA	20.016324813344163	20.427046293288125
O75794	17.743204906472663	17.9499940552661	17.643178934830022	NA	17.63968065460225	17.70886131892925
O75821	18.414176771566318	18.715547202295376	18.915164941508344	NA	18.850732701276897	18.426630556698946
O75822	NA	17.66139662729392	NA	NA	NA	NA
O75874	19.968482709807596	19.9317886323398	19.632751349469128	NA	20.106115811410458	19.8552215269929
O75915	NA	15.71381037212999	NA	NA	NA	NA
O75934	NA	16.601520853948188	NA	NA	NA	NA
O75937	NA	17.33132626024513	18.18202178694147	NA	17.669508890083932	NA
O75947	19.452999190943807	19.4479791454036	19.178441514239225	NA	19.456455449048043	19.35033971446543
O75964	19.26372974516388	19.208659845493028	19.36580967181791	NA	18.74320652129297	19.000435718463386
O76003	19.876681131857254	19.694167601064258	19.72179515509301	NA	19.502484636102043	19.86248516589159
O76021	18.254199070820437	18.36721958774221	18.716491273230076	NA	18.144021029267694	18.591795754942527
O76031	NA	17.429569851655067	NA	NA	NA	17.179098985580453
O76094	18.86190110592515	18.151092861113653	17.16884248756144	NA	17.658825446461087	18.2450309940322
O94776	19.292880950903243	19.444523276913046	19.529422321739293	NA	19.263591421280225	19.261997243956777
O94826	NA	NA	15.699042447161215	NA	NA	NA
O94888	NA	16.088824055839183	NA	NA	NA	NA
O94903	NA	17.52568143326402	17.90199844033775	NA	17.651658944338518	17.30730704901403
O94906	NA	17.378265239143047	NA	NA	NA	17.308768789800947
O94925	NA	17.74628370541964	17.119840587087445	NA	17.21132355193573	17.29165128205814
O95163	NA	16.346963398907267	NA	NA	16.46168759905463	NA
O95202	18.295282036247652	18.95389893244266	17.949179858980568	NA	18.32520814446065	18.554374022592622
O95232	17.297743863220422	16.704371697487883	NA	NA	NA	NA
O95319	18.468665836610317	18.589087630034214	17.975268489382614	NA	19.217975839203643	18.402028583465867
O95336	19.176420154231558	19.536189903417963	19.53503260311206	NA	19.416128804762437	19.63315271180483
O95347	19.56865375485072	19.60384227257798	18.993626261600493	NA	19.180110210038894	19.514745480357103
O95433	20.198291411139582	20.423800112843335	19.983634489943334	NA	20.456668823867084	20.444654149144505
O95453	16.535515170067526	16.93900383421499	17.201731234906777	NA	17.263347488674643	17.33144992366605
O95456	18.28330182986865	18.875230446609752	19.13268913244373	NA	18.46185768351431	NA
O95478	NA	16.08371991923098	NA	NA	NA	NA
O95747	17.756579060961773	17.43211020299714	18.559137376466737	NA	NA	17.795005692307665
O95757	17.724835315187185	17.560245278946148	17.833577407012083	NA	17.383301034751515	18.145953987386395
O95777	NA	18.393718773605475	NA	NA	NA	18.459361758531816
O95782	NA	17.05241861986554	16.403755048788295	NA	16.873373439324027	16.55022900142158
O95816	17.80395567059187	17.100933191189657	17.38290795788236	NA	16.997169316664994	NA
O95831	18.648349412104174	18.946000162250737	18.21373476510102	NA	18.523081056431117	18.918751145974234
O95861	17.894738919436474	18.25197335274146	18.08748766068465	NA	NA	18.299500401991935
O95864	NA	17.528616866488598	NA	NA	16.84484613409223	17.114194884550837
O95881	16.469899593808204	NA	17.84738033507077	NA	NA	16.66897833040142
O96008	NA	18.249603213378627	NA	NA	NA	NA
O96019;O94805	NA	19.014258125516292	19.183016047055276	NA	19.03961270026455	18.891982760142575
P00338;Q6ZMR3	23.98755207382576	23.954542222566605	24.130951309168616	23.00841737432416	24.275793479568968	24.190343733623134
P00367	19.07313454608563	18.889490869692782	18.8912621629906	NA	19.05368411393061	18.849576175347032
P00374;Q86XF0	NA	18.178896160236338	NA	NA	NA	18.33254931324014
