Name	t00_B_Rep3_OR9	t00_B_Rep3_OR8	t00_C_Rep3_OR8	t00_A_Rep2_OR8	t00_C_Rep2_OR8	t00_C_Rep2_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR8
A0AVT1	17.72216050947579	NA	NA	NA	17.19438299087999	18.052647848789547	NA	NA
A5YKK6	16.83819072576824	16.5246321157982	16.894676416500943	16.989366736466035	16.67993555954514	16.914820723840275	NA	17.166550072490054
A6NCE7;Q9GZQ8;Q9H492	NA	NA	NA	NA	NA	16.04959096867844	NA	NA
A6NHR9	15.383930237488414	NA	NA	NA	15.37199048120536	15.695095844171464	15.686141056341219	NA
A6NL28	NA	19.827926080945325	NA	20.36582573737133	19.734058488956343	19.53688609657984	19.939560373298292	NA
A6NMY6;P07355	17.095249428000876	17.90181571733185	17.34474560352382	17.455457742353534	17.44400510736561	17.35846991160215	NA	NA
A8MWD9;P62308	19.85803185498433	NA	NA	NA	19.044603206264036	NA	19.63873079465598	NA
B0I1T2	18.80977440087137	18.810353818948283	18.916930402945184	18.84079141750259	19.080718272573208	18.934845242056078	18.964661109714925	18.22239344252406
O00116	17.75717047708969	17.82860056320335	NA	17.33883888431778	17.47535017169263	17.596240160215753	NA	18.04676399400642
O00139;O14713	NA	NA	NA	NA	NA	NA	NA	16.81074132604961
O00148	21.21840103856538	21.184296158908687	21.386323986077528	21.09771925491243	21.440548971698274	21.509291543376094	21.42714781572929	21.36035907742864
O00151	19.0029065078159	19.08826941336967	18.786724881557724	18.573866041235238	19.205496972100946	18.864732922759547	18.69327280030198	18.893937410891994
O00154	20.423607317044993	20.616620014353895	21.00821824997453	20.64329796558953	20.659405219528196	20.096048870447845	20.258458160359428	20.37608241993646
O00165	NA	NA	NA	NA	NA	16.126576637482717	NA	NA
O00170	19.34232094702449	19.144413829064696	18.901739632587965	19.21012458343595	19.430093230960967	19.30448689321577	19.610382227561384	19.570942492313876
O00178	15.272856071170965	NA	NA	NA	15.48606133765632	NA	NA	NA
O00182;Q3B8N2;Q6DKI2	NA	18.826020839602652	18.567826913069705	18.439900412099657	18.49317011466824	18.964921138976774	NA	18.428610013551314
O00193	NA	NA	NA	18.236658489511303	NA	NA	NA	NA
O00231	20.297977731780385	20.487708493014388	20.423656386590267	20.865253669792057	20.466338748828047	20.356464434407098	20.429164161327794	20.2089059233845
O00232	19.202106208553467	19.367397755651314	19.370368282620802	19.24135537376309	19.01630110919885	19.062121395498885	18.963938051869476	19.407580651874405
O00233	NA	18.395609687101903	NA	18.583031002511685	18.40707291698933	18.50555667709689	18.409403963649233	18.523469938372827
O00264	NA	17.650786912939505	17.723927525831783	17.74295136839532	17.819677732708843	NA	NA	NA
O00267	16.02803703232644	16.17717963204936	NA	16.369464158903213	17.66768732012326	NA	NA	NA
O00299;Q9NZA1;O15247	21.00893167166541	20.90405021459376	20.669125608409498	21.032053096619258	21.137548575485503	20.90436712472829	20.980147346640805	20.976963320119594
O00303	20.142716637090867	19.90041917918897	20.86982624994734	19.57865116280091	20.06255676058885	20.03811559540001	19.790760025538024	19.93082362148671
