Name	t00_A_Rep3_OR8	t00_C_Rep2_OR8	t00_C_Rep3_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR9	t00_B_Rep1_OR8	t00_C_Rep1_OR8	t00_A_Rep3_OR9	t00_A_Rep1_OR9	t00_B_Rep2_OR8	t00_B_Rep1_OR9	t00_B_Rep3_OR8
A0AVT1	NA	17.19438299087999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A5YKK6	NA	16.67993555954514	NA	NA	NA	NA	16.97046593694661	NA	NA	17.166550072490054	NA	16.5246321157982
A6NHR9	NA	15.37199048120536	16.500490744400263	15.686141056341219	NA	NA	NA	NA	NA	NA	NA	NA
A6NL28	20.237591959999904	19.734058488956343	NA	19.939560373298292	20.113906217419807	NA	19.636516379554863	20.90743857084892	NA	NA	NA	19.827926080945325
A6NMY6;P07355	NA	17.44400510736561	NA	NA	NA	NA	17.82773098134554	NA	NA	NA	NA	17.90181571733185
A8MWD9;P62308	NA	19.044603206264036	NA	19.63873079465598	19.722077039050262	NA	NA	NA	NA	NA	19.909627238632797	NA
B0I1T2	NA	19.080718272573208	18.872193936375833	18.964661109714925	18.903719355465885	NA	18.779605172728314	NA	NA	18.22239344252406	18.428009881675862	18.810353818948283
O00116	NA	17.47535017169263	NA	NA	NA	NA	NA	NA	NA	18.04676399400642	NA	17.82860056320335
O00139;O14713	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.81074132604961	NA	NA
O00148	21.633264816658258	21.440548971698274	21.43202235817221	21.42714781572929	21.354258695444067	21.008335406088975	21.269775729171954	21.59550028401064	NA	21.36035907742864	21.058614826173674	21.184296158908687
O00151	NA	19.205496972100946	18.57604000129012	18.69327280030198	NA	NA	NA	NA	NA	18.893937410891994	NA	19.08826941336967
O00154	19.963334337637093	20.659405219528196	20.15823489604154	20.258458160359428	20.25337481984934	21.201651086854778	20.50361159492062	20.058867656712867	NA	20.37608241993646	20.16106203254556	20.616620014353895
O00165	NA	NA	18.313702051854506	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00170	NA	19.430093230960967	19.050142103867667	19.610382227561384	19.41067148056615	18.69597996925837	19.16164312087644	NA	NA	19.570942492313876	19.569170871571046	19.144413829064696
O00178	NA	15.48606133765632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00182;Q3B8N2;Q6DKI2	NA	18.49317011466824	NA	NA	NA	19.504112747930236	18.79251044671833	NA	NA	18.428610013551314	NA	18.826020839602652
O00231	NA	20.466338748828047	19.81730910421785	20.429164161327794	20.242263784944843	20.12202282388129	20.094071035249947	19.573393040579273	NA	20.2089059233845	20.122654713466975	20.487708493014388
O00232	NA	19.01630110919885	19.87105294556159	18.963938051869476	18.652195031741226	19.367993984319384	19.2847446214051	NA	NA	19.407580651874405	NA	19.367397755651314
O00233	NA	18.40707291698933	NA	18.409403963649233	NA	NA	18.193463720702784	NA	NA	18.523469938372827	NA	18.395609687101903
O00264	NA	17.819677732708843	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.650786912939505
O00267	NA	17.66768732012326	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.17717963204936
O00299;Q9NZA1;O15247	20.599773055849337	21.137548575485503	20.2723277020311	20.980147346640805	21.06849575772986	20.702281766957768	20.644967444166163	20.35612442807871	NA	20.976963320119594	20.60779298804913	20.90405021459376
O00303	19.227703231189732	20.06255676058885	20.625212906602474	19.790760025538024	19.958315416862504	20.3075165136391	19.947737235214987	19.40475853188719	NA	19.93082362148671	19.766037986255743	19.90041917918897
O00410;O60518	19.947980626785295	21.26334648203565	21.53319052209973	21.01170670893882	21.328336124273374	21.484153594173943	21.36110046343947	20.458274699491053	21.603709067749193	21.253726374773258	21.0885744282071	21.201929608795215
O00425	NA	17.934320694928513	17.944069795401628	NA	NA	NA	17.329917223363765	NA	NA	17.855297872569082	NA	17.667906690581752
O00429	NA	17.001109041021056	NA	16.47014864449234	NA	NA	NA	NA	NA	NA	NA	17.63586129081092
O00487	NA	19.175265952439883	18.880591893870534	NA	NA	NA	19.32184725037532	NA	NA	18.914471950970324	18.473015679063977	18.194204408854297
O00505	NA	18.01288620879741	17.685369312071774	17.551716580377764	17.433624990023652	NA	17.644933397863767	NA	NA	17.857713233991944	NA	17.553177472356285
O00541;Q674R7	NA	NA	NA	NA	NA	NA	17.085215667089052	NA	NA	NA	NA	NA
O00567	NA	19.51079030356771	19.237925465858154	19.185209414582083	18.767452806949407	19.70958967537952	19.471373591573233	NA	NA	20.183016055659962	NA	19.51262047048067
O00571;O15523;Q9NQI0	19.43331341676673	19.722400437304408	19.631359964715678	19.650047469220347	19.65939861700282	19.633015006419548	19.713953723171628	NA	NA	19.736251861713882	NA	19.439463007580596
O00743	NA	17.488762637846825	18.778468313975356	17.504687231670076	NA	NA	17.261039176116782	NA	NA	17.217370959555446	NA	17.18828397821131
O14497	NA	16.889952927849034	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.094588981027155
O14561	NA	17.646739454379787	19.274121644561006	18.58316871339813	NA	18.20910002000136	17.934761875264932	NA	NA	NA	NA	17.80125007505839
O14579	NA	18.07161817517573	NA	17.000630819564726	18.59044749459288	20.989391444266666	17.507586480452623	NA	NA	19.796097571189158	19.253028616465766	17.70644960234834
O14602	NA	18.258344926870674	NA	18.61954065220922	NA	NA	17.624773737990733	NA	NA	17.120928629021307	NA	18.107787933997205
O14646	NA	17.875751983679404	17.961327912893104	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14737	NA	19.693404826295296	19.127031230901995	19.632426573935483	19.682052168745727	18.676183414563454	19.280323939302036	NA	NA	19.534004201586214	19.351456771322347	19.35440461572882
O14744	NA	19.37584166523755	19.35333633954802	19.53739423202855	19.860634089285554	20.280079533185113	19.21235781611429	NA	NA	19.3512278966921	20.01721238263012	19.52215846239642
O14745	20.898855380214066	20.267117688181877	20.568497492459294	20.450862239792947	20.439578751729986	20.66379462616298	20.430638348945955	21.114154808144363	NA	20.854950331696713	21.30347502825666	20.264414283423722
O14757	NA	15.681945934426647	15.31331437534645	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14776;Q5VWI1	NA	17.198777435462215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14818	20.612910356655757	20.770368628089965	20.58750300863928	20.840469202732514	20.795578724616874	20.79482018187627	21.142562854555074	21.700649544034718	21.776634951409257	20.81542406643812	20.614567210518874	20.918765223176553
O14929;REV__Q7LFX5	20.28513217248727	19.551544206854178	18.582274586224134	19.051204525258118	19.053564299878374	19.44206365869873	19.516750627377164	NA	NA	19.73405147958642	19.153304926307158	19.6420479167881
O14950;P19105;P24844	18.97565571687591	19.709585390080807	19.193888055420825	18.903030870228662	19.30345742733922	19.471087477283486	19.358019564869387	19.444372003443785	NA	19.132469950475944	19.810284588898273	19.374415379292905
O14974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.176181311867378
O14979	NA	19.789724111557383	NA	18.61763227841093	20.217099157960995	NA	20.48319040672348	NA	NA	NA	18.447727681262187	18.985970277672898
