Name	t00_B_Rep3_OR9	t00_B_Rep3_OR8	t00_C_Rep3_OR8	t00_A_Rep2_OR8	t00_C_Rep2_OR8	t00_C_Rep2_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR8
A0AVT1	17.72216050947579	NA	NA	NA	17.195436950281263	18.05378365154148	NA	NA
A5YKK6	16.83819072576824	16.52148977168834	16.895088183718595	16.98539080545614	16.68098951894641	16.915956526592204	NA	17.165711610678997
A6NCE7;Q9GZQ8;Q9H492	NA	NA	NA	NA	NA	16.05072677143037	NA	NA
A6NHR9	15.383930237488414	NA	NA	NA	15.373044440606634	15.696231646923394	15.686006884621616	NA
A6NL28	NA	19.824783736835464	NA	20.361849806361437	19.73511244835762	19.538021899331767	19.93942620157869	NA
A6NMY6;P07355	17.095249428000876	17.89867337322199	17.34515737074147	17.45148181134364	17.44505906676688	17.359605714354082	NA	NA
A8MWD9;P62308	19.85803185498433	NA	NA	NA	19.04565716566531	NA	19.638596622936376	NA
B0I1T2	18.80977440087137	18.80721147483842	18.917342170162836	18.836815486492696	19.081772231974483	18.93598104480801	18.964526937995323	18.221554980713
CON__ENSEMBL:ENSBTAP00000016242;P68363;A6NHL2;Q9H853	25.86972499835477	25.96531604046677	25.542292900842806	26.023685075212974	25.882988241758774	25.86055976021843	26.061436319192133	26.19139142731816
CON__P02769	20.839804073148677	21.210424288138576	19.877394388174686	21.37969675328842	20.834673352186385	20.428038322043314	20.599671235345163	20.88209863679444
CON__P15636	23.19026506223034	23.69732168368497	23.416436954005857	23.187247691228293	23.194666544397585	23.209318250539837	23.456472707846203	23.723468105054437
CON__P60712;P60709	27.44140493104562	27.542629264011016	27.261883231870723	27.363591792079557	27.259054128288625	27.504980318439458	27.634898306685805	27.40609229826297
O00116	17.75717047708969	17.825458219093488	NA	17.334862953307887	17.4764041310939	17.597375962967682	NA	18.045925532195362
O00139;O14713	NA	NA	NA	NA	NA	NA	NA	16.809902864238545
O00148	21.21840103856538	21.181153814798826	21.38673575329518	21.093743323902537	21.441602931099546	21.510427346128026	21.427013644009683	21.359520615617583
O00151	19.0029065078159	19.08512706925981	18.787136648775377	18.569890110225344	19.20655093150222	18.865868725511476	18.693138628582375	18.89309894908093
O00154	20.423607317044993	20.613477670244034	21.008630017192182	20.639322034579635	20.66045917892947	20.097184673199777	20.258323988639823	20.375243958125402
O00165	NA	NA	NA	NA	NA	16.127712440234646	NA	NA
O00170	19.34232094702449	19.141271484954835	18.902151399805618	19.206148652426055	19.43114719036224	19.3056226959677	19.61024805584178	19.57010403050281
O00178	22.3389546814617	21.976876779469453	21.85546147542241	21.980613643039582	15.487115297057594	NA	NA	NA
O00182;Q3B8N2;Q6DKI2	NA	18.82287849549279	18.568238680287358	18.435924481089764	18.494224074069514	18.966056941728702	NA	18.427771551740257
O00193	NA	17.86757463905943	19.175549661310573	18.76099309958645	NA	NA	NA	NA
O00231	20.297977731780385	20.484566148904527	20.42406815380792	20.861277738782164	20.46739270822932	20.357600237159026	20.42902998960819	20.208067461573435
O00232	19.202106208553467	19.364255411541453	19.370780049838455	19.237379442753195	19.017355068600125	19.063257198250817	18.963803880149875	19.406742190063348
O00233	NA	18.392467342992042	NA	18.57905507150179	18.408126876390604	18.506692479848823	18.40926979192963	18.52263147656177
O00264	NA	17.647644568829644	17.724339293049436	17.738975437385427	17.820731692110115	NA	NA	NA
O00267	16.02803703232644	16.1740372879395	NA	16.36548822789332	17.668741279524532	NA	NA	NA
O00299;Q9NZA1;O15247	21.00893167166541	20.9009078704839	20.66953737562715	21.028077165609364	21.13860253488678	20.90550292748022	20.980013174921204	20.97612485830853
