Name	t00_A_Rep3_OR8	t00_C_Rep2_OR8	t00_C_Rep3_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR9	t00_B_Rep1_OR8	t00_C_Rep1_OR8	t00_A_Rep3_OR9	t00_A_Rep1_OR9	t00_B_Rep2_OR8	t00_B_Rep1_OR9	t00_B_Rep3_OR8
A0AVT1	NA	17.195436950281263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A5YKK6	NA	16.68098951894641	NA	NA	NA	NA	16.96973099995281	NA	NA	17.165711610678997	NA	16.52148977168834
A6NCE7;Q9GZQ8;Q9H492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6NHR9	NA	15.373044440606634	16.500575053994858	15.686006884621616	NA	NA	NA	NA	NA	NA	NA	NA
A6NL28	20.220757620341413	19.73511244835762	NA	19.93942620157869	20.113906217419807	NA	19.63578144256106	20.903434618557107	NA	NA	NA	19.824783736835464
A6NMY6;P07355	NA	17.44505906676688	NA	NA	NA	NA	17.826996044351738	NA	NA	NA	NA	17.89867337322199
A8MWD9;P62308	NA	19.04565716566531	NA	19.638596622936376	19.722077039050262	NA	NA	NA	NA	NA	19.908774295273865	NA
B0I1T2	NA	19.081772231974483	18.872278245970428	18.964526937995323	18.903719355465885	NA	18.77887023573451	NA	NA	18.221554980713	18.42715693831693	18.80721147483842
CON__ENSEMBL:ENSBTAP00000016242;P68363;A6NHL2;Q9H853	25.967058147624382	25.882988241758774	25.56453216477642	26.061436319192133	25.973987715283233	26.063911494817756	25.804669180820348	25.792075685307978	25.454817204038154	26.19139142731816	25.856642180237404	25.96531604046677
CON__P02769	20.779545394699383	20.834673352186385	20.430617971895476	20.599671235345163	20.715249577800723	21.54956527103138	20.916528812957743	NA	22.55470629749718	20.88209863679444	22.03578334349407	21.210424288138576
CON__P15636	23.680482947253523	23.194666544397585	23.127241145549444	23.456472707846203	22.79813052384183	23.115320460271484	23.905758884726374	NA	NA	23.723468105054437	22.68913841402412	23.69732168368497
CON__P60712;P60709	27.63921151464807	27.259054128288625	27.493379079603102	27.634898306685805	27.51661128841338	27.522688766388	27.49559461146906	27.67271110941377	27.263702816772188	27.40609229826297	27.6404132587847	27.542629264011016
O00116	NA	17.4764041310939	NA	NA	NA	NA	NA	NA	NA	18.045925532195362	NA	17.825458219093488
O00139;O14713	NA	15.466896901654435	15.446571955192246	NA	NA	NA	NA	NA	NA	16.809902864238545	NA	NA
O00148	21.616430476999767	21.441602931099546	21.432106667766803	21.427013644009683	21.354258695444067	21.0070879490221	21.269040792178153	21.591496331718822	NA	21.359520615617583	21.05776188281474	21.181153814798826
O00151	NA	19.20655093150222	18.576124310884715	18.693138628582375	NA	NA	NA	NA	NA	18.89309894908093	NA	19.08512706925981
O00154	19.946499997978602	20.66045917892947	20.158319205636136	20.258323988639823	20.25337481984934	21.200403629787903	20.50287665792682	20.054863704421052	NA	20.375243958125402	20.160209089186626	20.613477670244034
O00165	NA	NA	18.3137863614491	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00170	NA	19.43114719036224	19.050226413462262	19.61024805584178	19.41067148056615	18.694732512191496	19.16090818388264	NA	NA	19.57010403050281	19.568317928212114	19.141271484954835
O00178	22.082021705903326	21.991493391285047	22.674489491734054	22.54517353235974	22.09556802431221	21.779482068472277	NA	NA	NA	NA	NA	NA
O00182;Q3B8N2;Q6DKI2	NA	18.494224074069514	NA	NA	NA	19.50286529086336	18.79177550972453	NA	NA	18.427771551740257	NA	18.82287849549279
