Name	t00_A_Rep2_OR8	t00_C_Rep2_OR8	t00_C_Rep3_OR8	t00_A_Rep1_OR8	t00_C_Rep1_OR8	t00_B_Rep3_OR8
A0AVT1	NA	17.195436950281263	NA	NA	NA	NA
A5YKK6	16.98539080545614	16.68098951894641	16.895088183718595	NA	16.96973099995281	16.52148977168834
A6NCE7;Q9GZQ8;Q9H492	NA	NA	NA	NA	NA	NA
A6NHR9	NA	15.373044440606634	NA	NA	NA	NA
A6NL28	20.361849806361437	19.73511244835762	NA	NA	19.63578144256106	19.824783736835464
A6NMY6;P07355	17.45148181134364	17.44505906676688	17.34515737074147	NA	17.826996044351738	17.89867337322199
A8MWD9;P62308	NA	19.04565716566531	NA	NA	NA	NA
B0I1T2	18.836815486492696	19.081772231974483	18.917342170162836	NA	18.77887023573451	18.80721147483842
CON__ENSEMBL:ENSBTAP00000016242;P68363;A6NHL2;Q9H853	26.023685075212974	25.882988241758774	25.542292900842806	25.579871384596668	25.804669180820348	25.96531604046677
CON__P02769	21.37969675328842	20.834673352186385	19.877394388174686	24.24936765661412	20.916528812957743	21.210424288138576
CON__P15636	23.187247691228293	23.194666544397585	23.416436954005857	23.79135687848829	23.905758884726374	23.69732168368497
CON__P60712;P60709	27.363591792079557	27.259054128288625	27.261883231870723	26.812993270943135	27.49559461146906	27.542629264011016
O00116	17.334862953307887	17.4764041310939	NA	NA	NA	17.825458219093488
O00139;O14713	NA	NA	NA	NA	NA	NA
O00148	21.093743323902537	21.441602931099546	21.38673575329518	NA	21.269040792178153	21.181153814798826
O00151	18.569890110225344	19.20655093150222	18.787136648775377	NA	NA	19.08512706925981
O00154	20.639322034579635	20.66045917892947	21.008630017192182	NA	20.50287665792682	20.613477670244034
O00165	NA	NA	NA	NA	NA	NA
O00170	19.206148652426055	19.43114719036224	18.902151399805618	NA	19.16090818388264	19.141271484954835
O00178	NA	15.487115297057594	NA	NA	NA	NA
O00182;Q3B8N2;Q6DKI2	18.435924481089764	18.494224074069514	18.568238680287358	NA	18.79177550972453	18.82287849549279
O00193	16.52778691359135	16.31509798449403	NA	NA	NA	NA
O00231	20.861277738782164	20.46739270822932	20.42406815380792	NA	20.093336098256145	20.484566148904527
O00232	19.237379442753195	19.017355068600125	19.370780049838455	NA	19.284009684411295	19.364255411541453
O00233	18.57905507150179	18.408126876390604	NA	NA	18.19272878370898	18.392467342992042
O00264	17.738975437385427	17.820731692110115	17.724339293049436	NA	NA	17.647644568829644
O00267	16.36548822789332	17.668741279524532	NA	NA	NA	16.1740372879395
O00299;Q9NZA1;O15247	21.028077165609364	21.13860253488678	20.66953737562715	NA	20.64423250717236	20.9009078704839
O00303	19.574675231791016	20.063610719990123	20.870238017164993	NA	19.947002298221186	19.897276835079108
O00410;O60518	21.26952916284251	21.264400441436926	21.30692505721678	NA	21.36036552644567	21.198787264685354
O00425	17.686036036297175	17.935374654329785	18.05143708641867	NA	17.329182286369964	17.66476434647189
O00429	16.747633845614786	17.00216300042233	16.288602951536188	NA	NA	17.632718946701058
O00483	16.9506697003142	NA	NA	NA	NA	NA
O00487	18.71787140580672	19.176319911841155	18.744785984422606	NA	19.32111231338152	18.191062064744436
O00505	18.154947637625554	18.013940168198687	17.28899011521335	NA	17.644198460869966	17.550035128246424
O00541;Q674R7	NA	NA	NA	NA	17.08448073009525	NA
O00567	17.482783586752234	18.110414678526375	17.86199659260565	NA	19.47063865457943	19.50947812637081
O00571;O15523;Q9NQI0	19.480150325863423	19.723454396705684	19.49858138874983	NA	19.713218786177826	19.436320663470735
O00743	17.25492985274562	17.4898165972481	17.782050963696978	NA	17.26030423912298	17.18514163410145
O14497	NA	16.891006887250306	NA	NA	NA	17.091446636917293
O14561	17.261652416908777	17.64779341378106	19.054260897612387	NA	17.93402693827113	17.79810773094853
O14579	16.03087851356754	18.072672134577004	NA	NA	17.506851543458822	17.70330725823848
O14602	17.83503738137354	18.259398886271946	18.0869382887943	NA	17.624038800996928	18.104645589887344
O14646	17.330999189244817	17.876805943080676	17.725964938367014	NA	NA	NA
O14662	NA	NA	15.693058914438481	NA	NA	NA
O14737	19.783909232006337	19.69445878569657	19.069911462085226	NA	19.279589002308235	19.35126227161896
O14744	19.3766951121664	19.376895624638827	19.345284295920006	NA	19.21162287912049	19.519016118286558
O14745	20.61862745889534	20.268171647583152	20.256019658237314	22.431663382275175	20.429903411952154	20.26127193931386
O14757	NA	15.68299989382792	NA	NA	NA	NA
O14776;Q5VWI1	NA	17.199831394863487	NA	NA	NA	NA
O14818	20.98790016592898	20.771422587491237	20.806595407397484	20.634378398807804	21.141827917561272	20.915622879066692
O14929;REV__Q7LFX5	19.95348599635977	19.55259816625545	19.768973926310395	NA	19.516015690383362	19.63890557267824
O14950;P19105;P24844	18.94411354291223	19.71063934948208	19.526759627734567	NA	19.357284627875586	19.371273035183044
O14974	NA	NA	NA	NA	NA	17.173038967757517
O14976	NA	NA	NA	NA	NA	NA
O14979	19.408408400429114	19.79077807095866	NA	NA	20.48245546972968	18.982827933563037
O14980	18.704234756608464	18.918223022458378	19.82743166424651	NA	18.506252262058275	18.680921607119856
O14981	NA	NA	NA	NA	NA	NA
O15042	NA	NA	NA	NA	NA	NA
O15067	19.46206178298625	19.73312796693886	20.309258418143617	NA	19.58935843168807	19.804720507459862
O15143	19.074744709071005	18.96812520817835	18.609545069789007	NA	18.57926161020179	18.956413447878543
O15144	19.224465653252306	19.451209560954503	19.54153150504002	NA	19.541282125988594	19.441726883139136
O15145	18.67865212196624	18.920647742967837	20.983502715649088	NA	18.992561872400096	19.167611481116722
O15160	17.39306192805908	17.766128070732755	NA	NA	NA	17.286681474672974
O15212	18.81794515803816	19.189593616690864	19.361522884743245	NA	18.933163324248113	18.8500034364598
O15305	NA	17.156448847617348	NA	NA	NA	16.63429375457155
O15347	18.76099309958645	18.39346886180183	19.175549661310573	NA	19.23518597868268	17.86757463905943
O15355	20.52375991029207	19.930464740205977	19.992174901301393	NA	19.92194521260825	19.16092892450728
O15371	18.082409177565737	18.99028890013404	NA	NA	18.61030138749158	18.524343271523495
O15372	18.96146746828044	19.10817214692321	19.417644567112823	NA	19.13974052593543	18.849384551266237
O15392	NA	15.759463133195258	NA	NA	NA	NA
O15397	NA	16.490103672175103	17.458621820380912	NA	16.822971117515536	NA
O15511	NA	20.17772408148437	NA	NA	20.446007716574613	20.723792034043264
O43143	20.328958140548245	20.550603926028195	20.652627778203478	NA	20.750290229170503	21.03174425223719
O43148	NA	NA	NA	NA	NA	NA
O43169	NA	NA	NA	NA	NA	NA
O43172	NA	17.048120789010092	NA	NA	NA	17.259520544054087
O43175	21.153402678004163	20.973768702130847	21.220076445729646	NA	21.247407607771002	21.050263346191578
O43242	18.781387736099365	19.015361948223862	18.91166793018119	NA	18.994833223381406	19.390625221064994
O43252;O95340	NA	18.928135934146006	NA	NA	18.428006220863082	18.56493909790336
O43290	NA	NA	NA	NA	NA	NA
O43324	18.19667142907179	18.807316509433115	18.258627697607693	NA	18.183855805305654	18.60183650487492
O43390	21.17611253592317	21.39268213433254	21.38786578827657	NA	21.38073840845022	21.32201226551814
O43396	18.001703425249744	18.286963825865698	18.826401514013934	NA	17.13070465107522	18.460278392174576
O43399	17.84425968889546	17.62634102693881	17.845999191899153	NA	17.783576430272106	17.68947636771036
O43447	17.333436245667396	17.796505423852366	17.970752453650668	NA	17.63696244331893	16.896849053003063
O43488;Q8NHP1;O95154	19.057692422809467	18.948203825257295	19.792018238825385	NA	18.50163695479354	19.05854869418906
O43504	17.7854445694444	17.05812706387689	NA	NA	NA	16.678501227626906
O43592	17.87567771846132	17.763339909461905	16.84102716512094	NA	17.313168266618078	17.491325820947967
O43615	17.923037371639914	17.552735598505222	NA	NA	NA	17.523013326190352
O43617	NA	16.946975699395537	NA	NA	NA	16.98492249350637
O43665	NA	NA	NA	NA	NA	16.76041759689176
O43681	17.847908656391052	17.92765912400018	16.935103862566475	NA	NA	17.953728751700826
O43684	19.209903883995935	19.19211025392257	19.898840318579705	NA	19.48074058405355	19.064706237926156
O43707;Q08043;P35609	19.953622569942574	20.005430145017215	19.462625050998057	NA	19.748533537116195	19.926910697630895
O43719	17.062386098330386	17.151284873544114	NA	NA	NA	NA
O43747	NA	NA	18.274844199297178	NA	NA	16.305454553037375
O43765	19.18443412749137	19.103043287758176	18.987411651487076	NA	19.373886975422458	19.30635676107019
O43776	19.24893277452071	18.903184341584343	20.54475890892543	NA	19.309523308640884	19.284546504348324
O43795;Q9UBC5	18.690533536227107	19.627140670156223	19.757049908265632	NA	NA	NA
O43809	19.21501723886082	19.549020324755276	19.45705656576183	NA	18.993551017661495	18.93323801197
O43837	17.73567538130673	17.952871606034286	17.96861183401106	NA	18.272205650315207	18.373529522362585
O43847	18.184480677303135	18.049241442435815	18.44233867413678	NA	18.18899944198933	17.60239631282331
O43852	17.78593553253945	17.665948801888696	17.461591133651044	NA	17.12114711500464	17.838822678798618
O60216;Q9H4I0	NA	16.535176105277998	17.65196093643547	NA	16.324804618290273	NA
O60231	NA	NA	NA	NA	NA	NA
O60234	19.387209038061634	19.58621944372785	19.368970818997052	NA	19.30887912372497	19.604126844379266
O60256	NA	16.20058589202265	NA	NA	NA	NA
O60264	17.966132350846745	17.980463354704852	18.589825542495504	NA	17.452904890223763	17.535818395824766
O60341	17.533733341235916	17.507933438889964	18.981979709073922	NA	NA	17.714484447924555
O60488	17.64115480430428	18.209321549091754	NA	NA	NA	17.44182463531524
O60493	NA	17.04695048268683	NA	NA	NA	16.866526380395623
O60506	20.035773627045867	19.579995918376433	20.015093387075552	NA	19.530547260490508	19.614275860994596
O60508	NA	16.13025795932844	NA	NA	NA	NA
O60610	20.44832558490088	20.102034106441828	20.190886546781304	NA	19.647870826961878	19.989503799912214
O60664	NA	17.74391119110328	17.250292433480258	NA	NA	18.037046782676104
O60684;O15131	NA	NA	NA	NA	NA	NA
O60749	NA	NA	17.362484723291864	NA	NA	NA
O60763	NA	16.81593032541879	16.42857166750209	NA	16.931629832413975	NA
O60832	17.689713869685605	17.45759085865661	18.768989696313085	NA	16.873219601561054	17.583381702856823
O60841	17.934209261236013	18.16932330609997	19.14566599005554	NA	18.076378366369987	17.984976160205566
O60880	NA	17.971547363368032	NA	NA	NA	NA
O60884	17.880168153578534	18.523583643622395	18.236079469030344	NA	18.194822309715732	18.736709842244654
O60925	18.980895090902752	18.99669284501954	19.123314877882457	NA	19.04125840599633	19.08111616840282
O75083	22.537378223145662	22.635331837962504	22.609267642407126	22.819596847878312	22.755224414045323	22.65997410846496
O75131;Q9UBL6;Q9HCH3;Q86YQ8;Q96A23;Q8IYJ1;Q96FN4	17.067241277978443	17.92686409006638	17.43996347596958	NA	17.684817747386	17.390402387555234
O75152	NA	16.45882340468706	16.42106065836629	NA	NA	16.310208422289996
O75312	NA	15.751247117379302	NA	NA	NA	NA
O75340	NA	NA	NA	NA	NA	NA
O75347	19.296247105129993	19.57854551584243	19.47721568695618	NA	19.622795336510066	20.062902408405463
O75348	20.053595192097085	20.091430338519416	20.618202126445833	21.912109493445207	20.389244499282263	19.830574005183145
O75351	19.082259284576192	19.19541494439286	19.476964704566008	NA	17.952126938897955	18.00353197923381
O75367;Q9P0M6	20.290008717523627	19.88942984432255	20.166192019528275	NA	20.396134754181595	20.32031185127678
O75368	18.53956801898655	18.338371652608544	17.463307420605176	NA	17.283135376742038	17.909005550442934
O75369	21.31169410223784	21.45999261612114	21.349888353624248	NA	21.205394605448618	21.49147693596234
O75390	20.97295329739129	20.748957895264027	20.36238020668075	NA	20.537382774656137	20.76022947244307
O75396	NA	16.034348734237874	NA	NA	NA	NA
O75400	18.621002719404473	18.33109882061389	18.94275743510991	NA	18.954298037939587	18.841136925324466
O75431	16.76815474551478	17.172904084907408	NA	NA	16.794170942362676	16.789837306357953
O75436	17.26632204980886	17.11805046691571	18.169827700977127	NA	17.375692601491558	17.35213629174922
O75475	18.73344993180614	18.640182271935082	18.716183475471023	NA	18.585445207635516	18.553657989476463
O75489	NA	16.784325792063058	15.541812114613323	NA	NA	NA
