Name	Condition	Experiment	Fraction
OR8_121123_EDG_PG_phosJurkat_0min_A3	A	3	1
OR8_121123_EDG_PG_phosJurkat_0min_B1	A	4	1
OR8_121123_EDG_PG_phosJurkat_0min_B2	B	5	1
OR8_121123_EDG_PG_phosJurkat_0min_B3	B	6	1
OR8_121123_EDG_PG_phosJurkat_0min_C1	B	7	1
OR8_121123_EDG_PG_phosJurkat_0min_C2	A	8	1
OR9_20121214_EDG_PG_phosJurkat_0min_A1	B	10	1
OR9_20121214_EDG_PG_phosJurkat_0min_A2	A	11	1
OR9_20121214_EDG_PG_phosJurkat_0min_A3	B	12	1
OR9_20121214_EDG_PG_phosJurkat_0min_B1	B	13	1
OR9_20121214_EDG_PG_phosJurkat_0min_B2	A	14	1
OR9_20121214_EDG_PG_phosJurkat_0min_C3	A	18	1
