Name	Condition	Experiment	Fraction
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli10_black_Frac12_3	L	L3	12
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli10_black_Frac13_3	L	L3	13
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli10_green_Frac12_2	L	L2	12
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli10_green_Frac13_2	L	L2	13
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli10_red_Frac12_1	L	L1	12
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli10_red_Frac13_1	L	L1	13
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli30_black_Frac12_3	H	H3	12
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli30_black_Frac13_3	H	H3	13
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli30_green_Frac12_2	H	H2	12
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli30_green_Frac13_2	H	H2	13
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli30_red_Frac12_1	H	H1	12
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli30_red_Frac13_1	H	H1	13
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac01_03	L	L3	1
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac02_03	L	L3	2
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac03_02	L	L2	3
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac03_03	L	L3	3
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac01_02	L	L2	1
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac02_02	L	L2	2
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac01_01	L	L1	1
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac02_01	L	L1	2
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac03_01	L	L1	3
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac01_03	H	H3	1
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac02_03	H	H3	2
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac03_03	H	H3	3
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac01_02	H	H2	1
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac02_02	H	H2	2
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac03_02	H	H2	3
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac01_01	H	H1	1
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac02_01	H	H1	2
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac03_01	H	H1	3
20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac4_03	L	L3	4
20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac5_03	L	L3	5
20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac4_02	L	L2	4
20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac5_02	L	L2	5
20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac4_01	L	L1	4
20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac5_01	L	L1	5
20070921_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac04_03	H	H3	4
20070921_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac05_03	H	H3	5
20070921_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac04_02	H	H2	4
20070921_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac05_02	H	H2	5
20070921_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac04_01	H	H1	4
20070921_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac05_01	H	H1	5
20070922_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac06_03	L	L3	6
20070922_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac07_03	L	L3	7
20070922_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac08_03	L	L3	8
20070922_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac06_02	L	L2	6
20070922_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac07_02	L	L2	7
20070922_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac08_02	L	L2	8
20070922_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac06_01	L	L1	6
20070922_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac07_01	L	L1	7
20070922_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac08_01	L	L1	8
20070923_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac06_03	H	H3	6
20070923_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac07_03	H	H3	7
20070923_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac08_03	H	H3	8
20070923_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac06_02	H	H2	6
20070923_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac07_02	H	H2	7
20070923_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac08_02	H	H2	8
20070923_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac07_01	H	H1	7
20070923_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac08_01	H	H1	8
20070924_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac09_03	L	L3	9
20070924_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac10_03	L	L3	10
20070924_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac11_03	L	L3	11
20070924_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac09_02	L	L2	9
20070924_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac10_02	L	L2	10
20070924_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac11_02	L	L2	11
20070924_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac09_01	L	L1	9
20070924_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac10_01	L	L1	10
20070924_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac11_01	L	L1	11
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac09_03	H	H3	9
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac10_03	H	H3	10
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac11_03	H	H3	11
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac09_02	H	H2	9
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac10_02	H	H2	10
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac11_02	H	H2	11
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac09_01	H	H1	9
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac10_01	H	H1	10
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac11_01	H	H1	11
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac14_03	L	L3	14
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac15_03	L	L3	15
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac14_02	L	L2	14
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac15_02	L	L2	15
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac14_01	L	L1	14
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac15_01	L	L1	15
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac16_01	L	L1	16
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac16_02	L	L2	16
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac16_03	L	L3	16
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac14_03	H	H3	14
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac15_03	H	H3	15
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac16_03	H	H3	16
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac14_02	H	H2	14
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac15_02	H	H2	15
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac16_02	H	H2	16
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac14_01	H	H1	14
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac15_01	H	H1	15
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac16_01	H	H1	16
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac_17_03	L	L3	17
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac_18_03	L	L3	18
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac_19_03	L	L3	19
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac_17_02	L	L2	17
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac_18_02	L	L2	18
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac_19_02	L	L2	19
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac_17_01	L	L1	17
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac_18_01	L	L1	18
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac_19_01	L	L1	19
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_17_03	H	H3	17
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_18_03	H	H3	18
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_19_03	H	H3	19
